index_mode,scenario,run,seconds,rows_affected,ops_per_sec
no_indexes,point_update,1,0.009146300000000274,1,109.33382898002144
no_indexes,point_update,2,0.004404199999999747,1,227.05599200764212
no_indexes,point_update,3,0.004593400000000081,1,217.70366177558725
no_indexes,nested_update,1,0.0033324999999999605,1,300.0750187546922
no_indexes,nested_update,2,0.002894999999999648,1,345.4231433506465
no_indexes,nested_update,3,0.0023061000000001997,1,433.632539785748
no_indexes,bulk_update,1,4.4110973,80013,18139.02404737252
no_indexes,bulk_update,2,1.618557000000001,80013,49434.77430822638
no_indexes,bulk_update,3,1.2037189999999995,80013,66471.49376224853
no_indexes,atomic_increment,1,0.005010000000000403,1,199.60079840317755
no_indexes,atomic_increment,2,0.0024703999999999837,1,404.7927461139923
no_indexes,atomic_increment,3,0.002765899999999988,1,361.54597057015957
no_indexes,list_append,1,0.00262410000000024,1,381.083037993944
no_indexes,list_append,2,0.005127600000001564,1,195.02301271544093
no_indexes,list_append,3,0.0034130000000001104,1,292.9973630237233
no_indexes,cas_update,1,0.003464100000000414,1,288.675269189654
no_indexes,cas_update,2,0.002473399999999515,0,
no_indexes,cas_update,3,0.0028508000000009304,1,350.7787287777724
